Site_long,Site,distance,SIGNAL_code,plot,year,nifH_gene_copies,Fus_graminearum_barley_z_sc_std,Fus_tricinctum_barley_z_sc_std,Fus_graminearum_wheat_z_sc_std,Fus_tricinctum_wheat_z_sc_std,Ver_longisporum_oil_rp_z_sc_std,Lep_maculans_oil_rape_z_sc_std
Dornburg,D_cr,1m,D_AF_r1_1m,D_AF_r1,2016-2017,,1.20386930678085,1.86599016104505,,,0.193436739446086,-0.112768696088409
Dornburg,D_cr,4m,D_AF_r1_4m,D_AF_r1,2016-2017,,-0.488672497014953,1.16074390063161,,,-0.54286134973761,-0.499060380150136
Dornburg,D_cr,7m,D_AF_r1_7m,D_AF_r1,2016-2017,,-0.488672497014953,-0.370003755185822,,,0.148954634998798,0.593149514867759
Dornburg,D_cr,1m,D_AF_r2_1m,D_AF_r2,2016-2017,,-0.488672497014953,-0.172083845513846,,,-0.151634336563749,0.30301703224298
Dornburg,D_cr,4m,D_AF_r2_4m,D_AF_r2,2016-2017,,1.44752571041213,-0.445163214554927,,,0.118626878462417,-0.102007090958144
Dornburg,D_cr,7m,D_AF_r2_7m,D_AF_r2,2016-2017,,-0.488672497014953,-0.00422771958951208,,,0.31950772737983,-0.452067711341998
Dornburg,D_cr,1m,D_AF_r3_1m,D_AF_r3,2016-2017,,1.16253473830769,0.108511469464145,,,0.656282869987336,-0.514169712921746
Dornburg,D_cr,4m,D_AF_r3_4m,D_AF_r3,2016-2017,,-0.488672497014953,0.79371520737915,,,-0.264366970035993,0.386906632926313
Dornburg,D_cr,7m,D_AF_r3_7m,D_AF_r3,2016-2017,,-0.488672497014953,0.733587639883866,,,-0.157879824888074,0.0902721431982623
Dornburg,D_cr,1m,D_AF_r4_1m,D_AF_r4,2016-2017,,-0.488672497014953,-0.415099430807285,,,-0.0948077158305238,2.97895526587628
Dornburg,D_cr,4m,D_AF_r4_4m,D_AF_r4,2016-2017,,-0.488672497014953,0.825031648782944,,,1.02659743565646,0.286918689354758
Dornburg,D_cr,7m,D_AF_r4_7m,D_AF_r4,2016-2017,,-0.488672497014953,-0.450173845179534,,,0.313419160872698,0.268783573157077
Dornburg,D_cr,MC,D_C_r1,D_C_r1,2016-2017,,-0.488672497014953,-0.452679160491837,,,-0.295238722205313,0.0594757390720707
Dornburg,D_cr,MC,D_C_r2,D_C_r2,2016-2017,,-0.488672497014953,-0.582955556731619,,,0.696538546824864,0.41408972286409
Dornburg,D_cr,MC,D_C_r3,D_C_r3,2016-2017,,-0.488672497014953,0.773672684880722,,,2.61786835364052,1.70902710742874
Dornburg,D_cr,MC,D_C_r4,D_C_r4,2016-2017,,-0.488672497014953,-0.582955556731619,,,2.41037586549199,2.1818326962456
Dornburg,D_cr,24m,D_AF_r1_24m,D_AF_r1,2016-2017,,-0.488672497014953,-0.582955556731619,,,0.57499736868079,1.66137836260265
Dornburg,D_cr,24m,D_AF_r2_24m,D_AF_r2,2016-2017,,0.605605815721925,2.09898448508927,,,0.185726647494616,2.016158813444
Dornburg,D_cr,24m,D_AF_r3_24m,D_AF_r3,2016-2017,,-0.488672497014953,2.15410142195995,,,2.07071336144811,1.48303339969317
Dornburg,D_cr,24m,D_AF_r4_24m,D_AF_r4,2016-2017,,-0.488672497014953,3.81136750104871,,,-0.428528113729985,-0.173421455121042
Forst,F_cr,1m,F_AF_r1_1m,F_AF_r1,2016-2017,,-0.488672497014953,-0.582955556731619,0.0250155808720885,-0.604037674243312,,
Forst,F_cr,4m,F_AF_r1_4m,F_AF_r1,2016-2017,,1.5193173293392,-0.582955556731619,0.0229577438851815,-0.844154317827223,,
Forst,F_cr,7m,F_AF_r1_7m,F_AF_r1,2016-2017,,-0.488672497014953,-0.582955556731619,1.26863506662623,-0.334239092620469,,
Forst,F_cr,1m,F_AF_r2_1m,F_AF_r2,2016-2017,,-0.488672497014953,-0.582955556731619,-0.0763328907330821,-0.810378319369128,,
Forst,F_cr,4m,F_AF_r2_4m,F_AF_r2,2016-2017,,1.19081628515775,0.392864757410592,-0.609655643173151,-0.254200211425832,,
Forst,F_cr,7m,F_AF_r2_7m,F_AF_r2,2016-2017,,-0.488672497014953,-0.582955556731619,0.738742042497672,-0.297801954889918,,
Forst,F_cr,1m,F_AF_r3_1m,F_AF_r3,2016-2017,,-0.488672497014953,-0.416352088463437,1.20192685096733,0.0514213988646876,,
Forst,F_cr,4m,F_AF_r3_4m,F_AF_r3,2016-2017,,-0.488672497014953,-0.582955556731619,0.394740292853049,-0.0259563430574936,,
Forst,F_cr,7m,F_AF_r3_7m,F_AF_r3,2016-2017,,4.31048845307958,-0.582955556731619,1.59360182414196,-0.629011442800207,,
Forst,F_cr,1m,F_AF_r4_1m,F_AF_r4,2016-2017,,-0.488672497014953,-0.582955556731619,2.59062384429841,-0.844154317827223,,
Forst,F_cr,4m,F_AF_r4_4m,F_AF_r4,2016-2017,,0.877543766203257,-0.582955556731619,0.859296992647308,-0.808740695201463,,
Forst,F_cr,7m,F_AF_r4_7m,F_AF_r4,2016-2017,,1.78472876900898,-0.492764205488693,0.305224383922594,-0.527478744404964,,
Forst,F_cr,MC,F_C_r1,F_C_r1,2016-2017,,0.557744736437211,-0.582955556731619,-0.54483377808558,-0.756541424857135,,
Forst,F_cr,MC,F_C_r2,F_C_r2,2016-2017,,-0.488672497014953,-0.582955556731619,-0.817154206019608,-0.844154317827223,,
Forst,F_cr,MC,F_C_r3,F_C_r3,2016-2017,,-0.488672497014953,-0.582955556731619,-0.578959574785121,-0.291865567282132,,
Forst,F_cr,MC,F_C_r4,F_C_r4,2016-2017,,-0.488672497014953,-0.494016863144845,2.38655500976347,-0.725426565671496,,
Forst,F_cr,24m,F_AF_r1_24m,F_AF_r1,2016-2017,,-0.488672497014953,-0.582955556731619,1.01860787271703,-0.779877569246364,,
Forst,F_cr,24m,F_AF_r2_24m,F_AF_r2,2016-2017,,-0.488672497014953,-0.582955556731619,1.4514395856298,-0.674046107411,,
Forst,F_cr,24m,F_AF_r3_24m,F_AF_r3,2016-2017,,-0.488672497014953,-0.582955556731619,2.08388148627256,-0.737708746928985,,
Forst,F_cr,24m,F_AF_r4_24m,F_AF_r4,2016-2017,,-0.488672497014953,-0.512806727987121,-0.579988493278574,-0.844154317827223,,
Mariensee_Antr,AM_gr,Tree,M_AF_r4_T,M_AF_r4,2017,226084203,,,,,,
Mariensee_Antr,AM_gr,1m,M_AF_r4_1m,M_AF_r4,2017,596018740.6,,,,,,
Mariensee_Antr,AM_gr,4m,M_AF_r4_4m,M_AF_r4,2017,361686558.1,,,,,,
Mariensee_Antr,AM_gr,7m,M_AF_r4_7m,M_AF_r4,2017,435602067.5,,,,,,
Mariensee_Antr,AM_gr,Tree,M_AF_r5_T,M_AF_r5,2017,213533996.7,,,,,,
Mariensee_Antr,AM_gr,1m,M_AF_r5_1m,M_AF_r5,2017,456722293.9,,,,,,
Mariensee_Antr,AM_gr,4m,M_AF_r5_4m,M_AF_r5,2017,248813077.5,,,,,,
Mariensee_Antr,AM_gr,7m,M_AF_r5_7m,M_AF_r5,2017,582938251.2,,,,,,
Mariensee_Antr,AM_gr,Tree,M_AF_r6_T,M_AF_r6,2017,311257594.1,,,,,,
Mariensee_Antr,AM_gr,1m,M_AF_r6_1m,M_AF_r6,2017,238733062.3,,,,,,
Mariensee_Antr,AM_gr,4m,M_AF_r6_4m,M_AF_r6,2017,357262014.6,,,,,,
Mariensee_Antr,AM_gr,7m,M_AF_r6_7m,M_AF_r6,2017,240752379.9,,,,,,
Mariensee_Antr,AM_gr,MC,M_C_r4,M_C_r4,2017,341198217.9,,,,,,
Mariensee_Antr,AM_gr,MC,M_C_r5,M_C_r5,2017,212282036.7,,,,,,
Mariensee_Antr,AM_gr,MC,M_C_r6,M_C_r6,2017,439961943.1,,,,,,
Mariensee_Hist,HM_gr,Tree,M_AF_r1_T,M_AF_r1,2017,387089815.5,,,,,,
Mariensee_Hist,HM_gr,1m,M_AF_r1_1m,M_AF_r1,2017,748801913.5,,,,,,
Mariensee_Hist,HM_gr,4m,M_AF_r1_4m,M_AF_r1,2017,336921799.9,,,,,,
Mariensee_Hist,HM_gr,7m,M_AF_r1_7m,M_AF_r1,2017,550690186.3,,,,,,
Mariensee_Hist,HM_gr,Tree,M_AF_r2_T,M_AF_r2,2017,380532042.1,,,,,,
Mariensee_Hist,HM_gr,1m,M_AF_r2_1m,M_AF_r2,2017,672327376.9,,,,,,
Mariensee_Hist,HM_gr,4m,M_AF_r2_4m,M_AF_r2,2017,610255826.8,,,,,,
Mariensee_Hist,HM_gr,7m,M_AF_r2_7m,M_AF_r2,2017,531426710.1,,,,,,
Mariensee_Hist,HM_gr,Tree,M_AF_r3_T,M_AF_r3,2017,338436786,,,,,,
Mariensee_Hist,HM_gr,1m,M_AF_r3_1m,M_AF_r3,2017,957916722.1,,,,,,
Mariensee_Hist,HM_gr,4m,M_AF_r3_4m,M_AF_r3,2017,322822412.5,,,,,,
Mariensee_Hist,HM_gr,7m,M_AF_r3_7m,M_AF_r3,2017,602913186.1,,,,,,
Mariensee_Hist,HM_gr,MC,M_C_r1,M_C_r1,2017,311532063.7,,,,,,
Mariensee_Hist,HM_gr,MC,M_C_r2,M_C_r2,2017,137985628.4,,,,,,
Mariensee_Hist,HM_gr,MC,M_C_r3,M_C_r3,2017,706834289.5,,,,,,
Wendhausen,W_cr,1m,W_AF_r1_1m,W_AF_r1,2016-2017,,,,0.163748091072737,-0.189309353782098,0.0857569884874922,-0.806554396802176
Wendhausen,W_cr,4m,W_AF_r1_4m,W_AF_r1,2016-2017,,,,-0.427880042663031,0.856108974251179,0.127393577316328,-0.484107722248484
Wendhausen,W_cr,7m,W_AF_r1_7m,W_AF_r1,2016-2017,,,,-0.817154206019608,0.611079458164273,-0.407678434952129,-0.266848638513091
Wendhausen,W_cr,1m,W_AF_r2_1m,W_AF_r2,2016-2017,,,,-0.165505826832386,-0.340380183249214,-0.868515966233294,-1.07278416957893
Wendhausen,W_cr,4m,W_AF_r2_4m,W_AF_r2,2016-2017,,,,-0.0603846540845527,0.430326690658225,-1.11771827339201,-0.27296875062084
Wendhausen,W_cr,7m,W_AF_r2_7m,W_AF_r2,2016-2017,,,,-0.817154206019608,1.61412426085921,-1.13537720855359,-0.508558794141362
Wendhausen,W_cr,1m,W_AF_r3_1m,W_AF_r3,2016-2017,,,,-0.817154206019608,-0.435157681952837,-0.700567776017684,-0.986280057003168
Wendhausen,W_cr,4m,W_AF_r3_4m,W_AF_r3,2016-2017,,,,-0.817154206019608,-0.389099502237253,-0.617137676542819,-0.424492934229325
Wendhausen,W_cr,7m,W_AF_r3_7m,W_AF_r3,2016-2017,,,,-0.817154206019608,0.657956449963689,-0.530558679269592,-1.01242517592747
Wendhausen,W_cr,1m,W_AF_r4_1m,W_AF_r4,2016-2017,,,,-0.817154206019608,-0.466477244159435,-0.939810778511816,-1.19872138848734
Wendhausen,W_cr,4m,W_AF_r4_4m,W_AF_r4,2016-2017,,,,-0.817154206019608,1.19530187997884,-1.02014428746072,-0.994613201649079
Wendhausen,W_cr,7m,W_AF_r4_7m,W_AF_r4,2016-2017,,,,-0.817154206019608,-0.0777462073599058,-1.05204126216904,-0.840180740766991
Wendhausen,W_cr,MC,W_C_r1,W_C_r1,2016-2017,,,,-0.240788363270068,2.9485832544854,-0.243004679988636,-0.316426442675542
Wendhausen,W_cr,MC,W_C_r2,W_C_r2,2016-2017,,,,-0.817154206019608,3.09023774498844,0.705399398769091,-0.433560492328166
Wendhausen,W_cr,MC,W_C_r3,W_C_r3,2016-2017,,,,-0.817154206019608,1.10809839305066,2.41425706510393,-0.241467309579835
Wendhausen,W_cr,MC,W_C_r4,W_C_r4,2016-2017,,,,-0.817154206019608,1.99364366171562,0.210844599700152,-1.10233696692483
Wendhausen,W_cr,24m,W_AF_r1_24m,W_AF_r1,2016-2017,,,,-0.817154206019608,-0.758383752045758,-1.02842975940857,-0.735326084047353
Wendhausen,W_cr,24m,W_AF_r2_24m,W_AF_r2,2016-2017,,,,-0.563354310967743,0.0551060532419343,-1.11925610720051,0.728056370081285
Wendhausen,W_cr,24m,W_AF_r3_24m,W_AF_r3,2016-2017,,,,-0.817154206019608,0.147836521735977,-1.02551101360876,-0.945955862347633
Wendhausen,W_cr,24m,W_AF_r4_24m,W_AF_r4,2016-2017,,,,-0.817154206019608,-0.469343086452849,-1.1356282834611,-0.663950888601945
